id,name,date_start,date_end,description,ticket_price,contact_person,category_id,owner,geom,video_url,recurs,lat,lng,
E01,Atraksi Kesenian Tradisional,2022-07-10,2022-12-31,"Selain melestarikan nilai budaya berbentuk rumah gadang, masyarakat desa wisata kampung Minang nagari Sumpu juga masih melestarikan kesenian tradisional melalui sanggar Riak Sumpu, untuk itu wisatawan bisa menikmati penampilan kesenian seperti tari piring, tari gelombang ataupun penampilan randai, tentunya dengan memesan paket kesenian di desa wisata kampung Minang nagari Sumpu.",850000,081374519594,1,6,0xE61000000103000000010000000500000068C6BA2F0D1F59406CD5B858DF5FE1BF67C6BA9A0B1F5940E4F2F035D160E1BF68C6BA51091F59402C3E3D59B25FE1BF68C6FA780B1F59400381A13BE25EE1BF68C6BA2F0D1F59406CD5B858DF5FE1BF,EVA.mp4,week,-0.5429505,100.4850618,"{""type"":""Polygon"",""coordinates"":[[[100.48517983665226,-0.5429531796313944],[100.48508327712773,-0.5430685094393906],[100.48494380225895,-0.5429317229226789],[100.48507523050068,-0.5428324856439136],[100.48517983665226,-0.5429531796313944]]]}"
E02,Pertunjukan Silat Tradisional Sumpu,2022-07-11,2022-12-31,"Silat tradisional Minangkabau adalah seni bela diri yang di miliki masyarakat Minangkabau pada umumnya, dikarenakan masyarakat Minang kabau memiliki kebiasaan hidup merantau, sehingga seni bela diri ini diwariskan turun temurun dari generasi ke generasi. Masyarakat Sumpu masih tetap melestarikan seni bela diri ini di kehidupan masyarakatnya, sehingga seni bela diri ini menjadi penampilan yang bisa di nikmati wisatawan kalau berwisata di desa ini.",850000,081374519594,1,6,0xE610000001030000000100000007000000766F6532831F594018D2A591F4C4E0BF776FA54B841F5940E77EE311DEC4E0BF756FA578841F5940C2D480705FC5E0BF776F657B851F5940694090D059C5E0BF756F65A8851F594091F7F8AD4BC6E0BF756FA510831F594091F7F8AD4BC6E0BF766F6532831F594018D2A591F4C4E0BF,EVB.mp4,week,-0.52411884,100.4924537,"{""type"":""Polygon"",""coordinates"":[[[100.49238262086678,-0.5240424008066524],[100.49244967609215,-0.5240316724193378],[100.49246040492821,-0.5240933606461555],[100.49252209573555,-0.5240906785493397],[100.49253282457161,-0.5242060087109498],[100.49237457423973,-0.5242060087109498],[100.49238262086678,-0.5240424008066524]]]}"
E03,Makan Bajamba,2022-07-12,2022-12-31,"Di desa wisata Kampung Minang, tradisi makan bajamba ini merupakan salah satu paket unggulan yang kami tawarkan untuk wisatawan, dikarenakan sajian makan bajamba di desa ini menjadi menarik karna di sajikan di atas rumah gadang dengan sajian kuliner khas nagari Sumpu, dan di tambah dengan iringan lantunan saluang/ bansi(seruling khas Minangkabau)) secara Live.",300000,081374519594,1,5,0xE61000000103000000010000000D0000008C29126D801F59400BBA763AEDC6E0BF8C2992B0801F5940A9E75CB66BC8E0BF8C29D2C9811F59406302C95644C8E0BF8B2912B6821F594064AC8475BAC8E0BF8C299253831F594032764D5671C8E0BF8B29D231831F594029B61C98C8C7E0BF8C291278841F594076D5FDD7D3C7E0BF8D29D26C841F59408C41FB391AC7E0BF8D2912E3821F59400A368F9941C7E0BF8D2912E3821F5940A49E019BBAC6E0BF8C29D2F6811F5940C381F89B60C6E0BF8C29D26F811F594077FE38BA03C7E0BF8C29126D801F59400BBA763AEDC6E0BF,EVC.mp4,day,-0.52435948,100.49233689,"{""type"":""Polygon"",""coordinates"":[[[100.49221350454008,-0.5242830411787635],[100.49222959779416,-0.5244654237533172],[100.49229665301954,-0.524446649076776],[100.49235297940885,-0.5245029731062343],[100.49239053033506,-0.5244681058499678],[100.49238248370801,-0.5243876429501074],[100.49246026776945,-0.5243930071434721],[100.49245758556043,-0.5243044979525151],[100.49236370824491,-0.5243232726294889],[100.49236370824491,-0.5242589023082087],[100.4923073818556,-0.5242159887603112],[100.49227519534742,-0.5242937695656583],[100.49221350454008,-0.5242830411787635]]]}"
E04,Atraksi Manjalo Di Ateh Biduak,2022-07-13,2022-12-31,"Danau Singkarak merupakan danau yang memiliki ikan endemi yaitu Ikan Bilih, ikan ini hanya bisa ditemui di danau Singkarak. Cara penangkapan ikan ini terkadang ada bermacam-macam di seputar danau, namun di nagari Sumpu system penangkapannya masih dengan cara yang tradisional yang tidak merusak kelestarian ikan Bilih. Salah satu cara penangkapannya adalah dengan memaki jala dengan ukuran besar yang di lempar dari sebuah sampan kecil yang biasa di sebut masyarakat dengan sebutan Biduak. Menjala di atas biduak ini hanya bisa dilakukan dengan sempurna oleh nelayan-nelayan profesional yang Cuma ada di desa ini. Selain teori menebar jala yang menjadi spesial, cara nelayan menentukan tanda-tanda titik kumpul ikan di danau pun juga menjadi hal menarik untuk di bicarakan dengan nelayan, karna tidak semua lokasi danau bakal di tebar jala akan mendapatkan ikan.",325000,081374519594,3,6,0xE61000000103000000010000000A0000004C332E27841F594065E981072D38E1BF4D332E218A1F59400619CF8A0837E1BF4C33AE29891F5940BD2F69ED2136E1BF4D332E6D891F5940856A64901935E1BF4C33EE72871F5940BE09D8D53533E1BF4B33EEE0821F594071EE86F55133E1BF4C332EEC821F59402209558C8136E1BF4B33AEB6831F59404A581C6A4637E1BF4C336E7E831F5940DD74E3470B38E1BF4C332E27841F594065E981072D38E1BF,EVA.mp4,day,-0.53780433,100.4925845,"{""type"":""Polygon"",""coordinates"":[[[100.49244098197704,-0.5381074091558672],[100.49280576240307,-0.5379679404366307],[100.49274675380474,-0.5378579747134534],[100.49276284705883,-0.5377319164429798],[100.49264214765316,-0.5375012566221853],[100.49236319791561,-0.5375146670771312],[100.49236588012462,-0.5379035702574451],[100.49241415988689,-0.5379974434351962],[100.49240074884182,-0.5380913166115097],[100.49244098197704,-0.5381074091558672]]]}"
E05,Naik Sampan Tradisional,2022-07-14,2022-12-31,"Tepian danau Singkarak merupakan salah satu daya tarik untuk di kunjungi wisatawan di desa wisata kampung Minang nagari Sumpu, selain pemandangan danau Singkarak dan atraksi nelayan menjala ikan dari atas sampan, wisatawan juga bisa merasakan langsung naik sampan tradisional nelayan.",325000,081374519594,2,6,0xE610000001030000000100000005000000B0406636161F5940C11FB093215AE1BFAF40A6E4181F59402883FA725F5AE1BFB040A6C8161F5940630255CCA25CE1BFAF402696141F59401FF3C80ECD5BE1BFB0406636161F5940C11FB093215AE1BF,EVB.mp4,day,-0.54240522,100.4857629,"{""type"":""Polygon"",""coordinates"":[[[100.48573074327099,-0.5422523388415287],[100.4858943580209,-0.5422818418192934],[100.48576561198819,-0.5425580969677636],[100.48563150153744,-0.5424561775940652],[100.48573074327099,-0.5422523388415287]]]}"
E06,Edukasi Memasak,2022-07-15,2022-12-31,"Kuliner Khas Nagari Sumpu merupakan salah satu daya Tarik utama untuk wisatawan nikmati di desa wisata ini, sehingga kuliner khas ini merupakan salah satu faktor desa wisata Kampung Minang Nagari Sumpu meraih penghargaan ke 4 di kategori suvenir di ajang Anugerah Desa Wisata Indonesia tahun 2021. Selain menikmati kuliner khas, wisatawan juga bisa merasakan bagaimana cara memasak masakan khas ini melalui edukasi memasak, seperti belajar masak masakan Rendang Sumpu, Pangek sumpu ataupun Singgang Sumpu.",560000,081374519594,3,5,0xE61000000103000000010000000D000000EDA524E7821F5940920699D67FC2E0BFEDA56498821F5940776F217466C3E0BFEEA5A4FD821F59405D36F35377C3E0BFEDA524E7821F5940EAD5DD92DCC3E0BFEDA5646B821F59404AA8FC52D1C3E0BFEEA5E427821F594031C11850DFC4E0BFEDA524CB801F594082437590BDC4E0BFEDA5A45A801F5940A08A629209C4E0BFEDA5A44C7F1F59404FC790B2F8C3E0BFEDA5649B7F1F59406289081512C3E0BFEDA5A40E811F59402595A2D5D9C2E0BFECA5A468811F5940C007E6B663C2E0BFEDA524E7821F5940920699D67FC2E0BF,EVC.mp4,week,-0.52388073,100.49225739,"{""type"":""Polygon"",""coordinates"":[[[100.49236467913552,-0.523742598663562],[100.49234590367242,-0.5238525646377487],[100.49237004355355,-0.5238606109284764],[100.49236467913552,-0.5239088886725629],[100.49233517483636,-0.5239035244787911],[100.49231908158227,-0.524032265128005],[100.4922359331028,-0.5240161725470076],[100.49220911101266,-0.5239303454475994],[100.4921447379963,-0.5239222991569735],[100.4921635134594,-0.5238123331840081],[100.4922520263569,-0.5237855122146909],[100.49227348402901,-0.5237291881787698],[100.49236467913552,-0.523742598663562]]]}"
E07,Tracking,2022-07-16,2022-12-31,"Nagari Sumpu merupakan sebuah nagari atau desa yang terletak di Kawasan kaki bukit, sehingga bisa menjadi salah satu pilihan untuk wisatawan yang hobi tracking. Puncak tubia salah satu tempat yang menjadi tujuan tracking, puncak ini adalah salah satu tempat bersejarah bagi masyarakat Sumpu dikarenakan menjadi tempat Perumahan awal asal muasal masyarakat Sumpu. Dari puncak ini, wisatawan dapat menikmati pemandangan danau Singkarak dan pemandangan desa yang memiliki hamparan sawah yang luas. Selain perjalanan ke puncak tubia, wisatawan juga bisa melakukan perjalanan dengan sepeda di dalam desa.",35000,081374519594,2,5,0xE610000001030000000100000009000000DEF249967C1F5940C01341D3C5B5E0BFDEF24991721F59407E67D75674B4E0BFDEF249C7691F594050D9F65E77B1E0BFDEF2499A3C1F59402A246855FBB4E0BFDFF24978401F5940AC0A504C52B8E0BFDEF24936551F5940F4D50353DCB5E0BFDEF249E6681F59408B934658EDB3E0BFDEF249A77A1F59406ACF195190B6E0BFDEF249967C1F5940C01341D3C5B5E0BF,EVA.mp4,week,-0.52208177,100.4900265,"{""type"":""Polygon"",""coordinates"":[[[100.49197919103196,-0.5221890569742911],[100.49136764737656,-0.5220281311151067],[100.49083120557358,-0.5216633658190322],[100.48807389470628,-0.5220925014592741],[100.48830992909959,-0.5225001802903839],[100.48957593175462,-0.5221997853647609],[100.49077756139329,-0.5219637607702777],[100.4918611738353,-0.5222856124878323],[100.49197919103196,-0.5221890569742911]]]}"
E08,Manjalo Bilih,2022-07-17,2022-12-31,"Menangkap ikan Bilih tidak hanya di lakukan di Kawasan danau Singkarak, namun juga di dilakukan nelayan di Kawasan muara sungai batang Sumpu. Menjala ikan di Kawasan ini di lakukan nelayan tidak dengan memakai sampan, namun di lempar dari daratan dan aliran air yang cukup dangkal, sehingga wisatawan bisa ikut mencoba cara menjala ikan Bilih ini. Cara penangkapan ikan bilih di Kawasan ini juga menjadi sesuatu yang menarik untuk diketahui, dikarenakan aturan-aturan penangkapan di Kawasan ini yang memiliki aturan yang sudah turun temurun dari nenek moyang masyarakat Sumpu.",200000,081374519594,2,6,0xE6100000010300000001000000050000004B33BE1B871F5940BD84B6040C2EE1BF4D33FE80871F59404139D1782D32E1BF4B333E54831F5940F8DC01991C32E1BF4C33FE56841F5940530C4B667F2DE1BF4B33BE1B871F5940BD84B6040C2EE1BF,EVB.mp4,day,-0.53708956,100.4925181,"{""type"":""Polygon"",""coordinates"":[[[100.49262136053329,-0.536870965199476],[100.49264550041443,-0.5373751983368394],[100.49239069055801,-0.5373671520636938],[100.49245238136535,-0.5368039129174441],[100.49262136053329,-0.536870965199476]]]}"
E09,Edukasi Bertani,2022-07-18,2022-12-31,"Pertanian merupakan sumber ekonomi utama di desa ini, hamparan sawah Baruah dan sawah bukik merupakan lahan utama petani untuk bertanam padi. Momen masyarakat memulai menanam padi ataupun momen di saat panen raya adalah saat yang tepat bagi wisatawan untuk bisa ikut merasakan paket wisata ini, terutama buat wisatawan edukasi dari sekolah-sekolah.",250000,081374519594,3,6,0xE610000001030000000100000018000000F7F90F1A221F59404EDD79B65D48E1BFF7F90F93211F594062DBC4C3CB43E1BFF8F90F952E1F5940E5DA2E683A37E1BFF7F90F103B1F59409343DA732F33E1BFF7F90F3A3E1F59402A424E04792DE1BFF7F90FC43B1F5940FC4972128D28E1BF4A85FE21351F59405088C79CF224E1BF4B85FE293C1F59400DCD6DD76110E1BF4C85FEF93E1F5940CD29A09D82F7E0BF4A85FE99441F59407BEF522131F6E0BF4B85FECE4B1F594018E5389625FAE0BF4A85FEF84E1F5940A3A4F97DC202E1BF4B85FEA3581F5940A5218C741906E1BF4A85FE245F1F59404C0AFADEBD11E1BF4B85FE4E621F59402A73CBA42126E1BF4C85FEC0771F5940D98A88F7DC35E1BF4A85FEDF761F5940AA5457EB143AE1BF4B85FE186B1F5940193E166B2B3AE1BF4C85FEEE671F5940F7A86880C932E1BF4B85FE4E621F59400788A900B332E1BF4A85FE2D561F59408CBC9C6CA439E1BF4B85FE2A591F594028EEDE5E633EE1BF4B85FEA32B1F5940288928C83546E1BFF7F90F1A221F59404EDD79B65D48E1BF,EVC.mp4,month,-0.53506824,100.4890542,"{""type"":""Polygon"",""coordinates"":[[[100.48645640907476,-0.5400837482438108],[100.48642422256658,-0.5395258735287423],[100.48721815643499,-0.5379917177986867],[100.48797990379522,-0.537498213076207],[100.4881730228443,-0.5368008693786284],[100.48802281913946,-0.5362000808984813],[100.48761796813521,-0.5357602178667182],[100.4880471215776,-0.5332497794719601],[100.48821878295455,-0.5302136496186961],[100.48856210570845,-0.5300527239664768],[100.4890019879869,-0.5305355009105908],[100.48919510703597,-0.5315868816807278],[100.48978519301924,-0.5319945598903827],[100.49018215995345,-0.5334157328619056],[100.49037527900252,-0.5359047144553177],[100.49168419700179,-0.5378250918041331],[100.49163055282149,-0.5383400532251887],[100.4909117208055,-0.5383507815876697],[100.49071860175643,-0.5374495990738798],[100.49037527900252,-0.5374388707098213],[100.48963498931441,-0.5382864114125296],[100.48981737952742,-0.5388657429643375],[100.487038610988,-0.5398205670683511],[100.48645640907476,-0.5400837482438108]]]}"
E10,Mengukir,2022-07-19,2022-12-31,"Rumah gadang sangat terkenal dengan daya tarik ukirannya, sehingga ukiran mengukir ukiran ini merupakan hal yang sangat menarik untuk di coba di desa wisata ini. Paket Mengukir ini merupakan paket yang biasa di ambil oleh wisatawan-wisatawan edukasi dari sekolah-sekolah.",125000,081374519594,1,6,0xE610000001030000000100000007000000EDA55411831F59402725A4A436C3E0BFEDA514C8841F5940E95CD2C425C3E0BFEDA514F5841F5940C1E0D562DFC3E0BFECA5D470851F59405777C602E5C3E0BFEDA5540E861F5940EF5F01C0E7C4E0BFEDA594EF821F59404A0C3F40D1C4E0BFEDA55411831F59402725A4A436C3E0BF,EVA.mp4,month,-0.52392900,100.49246191,"{""type"":""Polygon"",""coordinates"":[[[100.49237473741933,-0.5238297668121604],[100.4924793435709,-0.5238217205213945],[100.49249007240697,-0.5239102297191708],[100.49251957670613,-0.5239129118160503],[100.49255712763234,-0.5240362882714161],[100.49236669079228,-0.5240255598840886],[100.49237473741933,-0.5238297668121604]]]}"
E11,Manyulam,2022-07-20,2022-12-31,"Sulaman merupakan daya tarik suvenir yang ada di tiap daerah wisata, begitu juga di desa wisata kampung Minang nagari Sumpu. Sulaman salendang bajaik kapalo samek merupakan salah satu sulaman yang di buat oleh masyarakat desa Sumpu, selendang ini merupakan selendang pakaian menantu perempuan di desa ini yang di pakai di acara-acara adat.",125000,081374519594,1,6,0xE61000000103000000010000000500000080D4995AE61F5940DCE4C16CD1E4E0BF80D49949E81F59406F206F2AA7E5E0BF81D4991FE51F59405CE1E266EDE6E0BF80D459ACE31F594036177A285BE6E0BF80D4995AE61F5940DCE4C16CD1E4E0BF,EVB.mp4,week,-0.5279748,100.4983884,"{""type"":""Polygon"",""coordinates"":[[[100.49843468687504,-0.527931892792505],[100.4985527040717,-0.5280338124075693],[100.49835958502263,-0.5281893739220709],[100.49827107212514,-0.528119639450529],[100.49843468687504,-0.527931892792505]]]}"
E12,Tubing Dan Arum Jeram,2022-07-21,2022-12-31,"Desa Wisata Kampung Minang Nagari Sumpu tidak hanya menyajikan wisata budaya saja, namun desa ini juga memiliki alam yang indah, salah satunya adanya aliran sungai yang mengalir di dalam Kawasan desa yang bermuara di danau Singkarak. Sarana batang Sumpu di manfaatkan untuk sarana bagi wisatawan pencinta outbond berupa river tubing atau rafting.",85000,081374519594,2,5,0xE6100000010300000001000000090000005CC2741D2F1F59401018A6CFB4D9E0BF5CC2F4E4321F5940292B9FD05AD9E0BF5DC23474361F594094075A0325DEE0BF5EC23417391F594019F5706A35E2E0BF5DC2F4FD371F594002CD5CBAFCE7E0BF5EC2B44F351F59407F82F97AC4E7E0BF5EC2F4E1351F59400B67D80BB4E1E0BFD83167E52F1F5940ACE2FB4F52DBE0BF5CC2741D2F1F59401018A6CFB4D9E0BF,EVC.mp4,day,-0.52742566,100.48755511,
E13,Tur Batu Bajanjang,2022-07-22,2022-12-31,Batu Bajanjang adalah pintu masuk dari kerajaan Samaskuta yang turun ke dalam danau dan di tengah danau tangga tersebut menonjol ke atas dan turun lagi kira-kira 1 km dan naik lagi sampai ke pantai seberang Jorong Sudut Sumpur. Kota Samaskuta adalah Sebuah kerajaan yang ada di pedalaman Sumatera dan tepatnya di Danau Singkarak,0,081374519594,1,5,0xE610000001030000000100000006000000AF407671161F594003B7BFF8DA5DE1BFB04036A4141F5940633D2297675EE1BFAE4076ED121F5940B60F55FBF95CE1BFAF40B633141F5940F7484D3EF75BE1BFAF407663151F594020F365FD455CE1BFAF407671161F594003B7BFF8DA5DE1BF,EVA.mp4,day,-0.54262515,100.4856375,"{""type"":""Polygon"",""coordinates"":[[[100.48574482486832,-0.5427069528938947],[100.48563485429871,-0.5427740051108397],[100.48553024814713,-0.542599669345228],[100.48560803220856,-0.542476293261898],[100.48568045185196,-0.5425138425049205],[100.48574482486832,-0.5427069528938947]]]}"
E14,Kunjungan Makan Abdul Hamid Hakim,2022-07-23,2022-12-31,Syekh Haji Abdul Hamid Hakim adalah seorang ulama terkemuka Indonesia asal Minangkabau yang merupakan pengarang kitab Mabadi Awwaliyah,0,081374519594,1,5,0xE6100000010300000001000000060000008FB4E8922A1F59400DE3C0505FEEE0BF8FB4A8D3291F5940C8E6541373EDE0BF8FB468D62A1F5940C5944B15BFECE0BF8FB4A8D02C1F594043A1F6D294EDE0BF8FB4A8762C1F59403D93621081EEE0BF8FB4E8922A1F59400DE3C0505FEEE0BF,EVB.mp4,day,-0.52900699,100.4870191,"{""type"":""Polygon"",""coordinates"":[[[100.48697350239875,-0.5290981843200783],[100.4869279048455,-0.5289855363436908],[100.48698959565284,-0.52889970931269],[100.48711029505851,-0.5290016289118643],[100.4870888373864,-0.5291142768879592],[100.48697350239875,-0.5290981843200783]]]}"
E15,Tur Rumah Belanda Siti Kayo,2022-07-24,2022-12-31,Rumah berarsitektur Belanda yang dimiliki oleh Siti Kayo memiliki struktur yang dibangun dari kayu-kayu Kalimantan dan berisi peninggalan barang-barang antik,125000,081374519594,1,5,0xE610000001030000000100000005000000645F830A301F5940098799C50BE3E0BF645F83832F1F59400209F9A2FDE3E0BF645F43052A1F5940DBB18F646BE3E0BF645FC3482A1F594005F3DBA73BE2E0BF645F830A301F5940098799C50BE3E0BF,EVC.mp4,day,-0.52772362,100.4871235,"{""type"":""Polygon"",""coordinates"":[[[100.48730719403608,-0.5277155742043941],[100.4872750075279,-0.527830904299009],[100.48693973140104,-0.5277611698234596],[100.48695582465513,-0.5276163366794157],[100.48730719403608,-0.5277155742043941]]]}"
E16,Atraksi Air Mendidih,2022-07-25,2022-12-31,Air yang selalu terlihat mendidih padahal suhu air yang mengalir normal,0,081374519594,2,5,0xE610000001030000000100000006000000FC77911ECB1F59406A209EBCB8ECE0BFFE77D175CA1F5940A859F19BF6ECE0BFFD77518FC71F59404988659E15ECE0BFFD7791F4C71F59402712BAE03FEBE0BFFD7791E3C91F5940003C75FE0FECE0BFFC77911ECB1F59406A209EBCB8ECE0BF,EVA.mp4,day,-0.52882158,100.4966638,"{""type"":""Polygon"",""coordinates"":[[[100.49677242475441,-0.52889668311492],[100.49673219161919,-0.5289261861569701],[100.4965551658242,-0.528818902367001],[100.49657930570534,-0.5287169827648243],[100.496697322902,-0.5288162202722333],[100.49677242475441,-0.52889668311492]]]}"
E17,Tur Rumah Belanda Bahar Munaf,2022-07-26,2022-12-31,Rumah berarsitektur Belanda milik keluarga Bahar Munaf yang memiliki struktur batu garam dan berisi peninggalan barang-barang antik dan kuno,0,081374519594,1,5,0xE610000001030000000100000007000000ECC510107E1F5940BD87DF8325B8E0BFEDC590347F1F5940B1FB3C011DB9E0BFECC590377C1F5940B0E370BFC5B9E0BFECC5D045791F5940C545ABC57CB7E0BFECC590837B1F5940AE318667CEB6E0BFECC5102F7D1F59409E820DA414B8E0BFECC510107E1F5940BD87DF8325B8E0BF,EVB.mp4,day,-0.52249626,100.491958,"{""type"":""Polygon"",""coordinates"":[[[100.49206926000596,-0.5224788261077645],[100.49213899744035,-0.522596838396444],[100.49195660722734,-0.522677301319268],[100.49177689922334,-0.5223983631823833],[100.4919136918831,-0.5223152181584305],[100.49201561582566,-0.5224707798152683],[100.49206926000596,-0.5224788261077645]]]}"